Data_Venda;Produto;Categoria_Produto;Regiao;Canais_Venda;Quantidade;Preco_Unitario;Desconto;Cliente_ID;Cliente_Idade;Cliente_Sexo;Frequencia_Compra;Satisfacao_Cliente;Retorno;NPS;Acoes_Realizadas;KPI_Chave;Receita;Custo;Lucro_Bruto
2024-07-04;Skill;Alimentos;Norte;Loja Física;13;414.15;0.24;d95e17e1-900f-42f7-8f4b-4ed5ac1d02e8;51;M;8;2;0;4;Cross-Sell;Receita por Cliente;4091.802;2891.848093192668;1199.9539068073325
2024-05-19;Mission;Brinquedos;Norte;Loja Física;2;337.62;0.0;2e402534-6987-4052-b421-9d3ecdc39412;49;M;5;3;0;9;Recuperação de Devolução;CAC;675.24;425.4991195483244;249.7408804516756
2024-08-14;Area;Moda;Norte;Online;7;277.5;0.05;439f4b86-cd6a-4e0c-b427-965607db34e0;24;F;2;1;0;9;Cross-Sell;Receita por Cliente;1845.375;1318.2227291840898;527.1522708159102
2024-03-25;Very;Eletrônicos;Nordeste;Online;8;298.52;0.11;106861d3-633d-4c54-b304-59cc30c42d61;18;F;7;5;1;6;Fidelidade;CAC;2125.4624;1289.2641752992345;836.1982247007654
2024-07-15;Pretty;Cosméticos;Norte;Loja Física;15;449.28;0.15;06b42b6f-1f94-43c8-98a7-75945b8c4949;26;M;5;1;1;1;Promoção;Receita por Cliente;5728.32;3999.140705610381;1729.1792943896185
2024-02-24;Dinner;Moda;Sul;Loja Física;18;291.79;0.18;675d0855-2d55-40c9-8576-598359cd012a;42;F;4;5;0;3;Cross-Sell;Taxa de Retenção;4306.8204000000005;2920.6616456337238;1386.1587543662772
2024-04-19;Agree;Brinquedos;Centro-Oeste;Loja Física;6;216.69;0.04;e5a1bdae-a747-495e-b0c9-52af9db31510;24;M;7;4;1;2;Fidelidade;CAC;1248.1344;787.8841865859594;460.25021341404056
2024-02-24;Hear;Cosméticos;Sul;Loja Física;14;354.45;0.21;ca6ef7ce-74db-49f3-92a3-3c33037e5725;29;F;7;4;0;8;Recuperação de Devolução;Receita por Cliente;3920.217;2718.9427418034315;1201.2742581965686
2024-10-20;Market;Livros;Nordeste;Loja Física;9;185.03;0.27;b1e186d7-df25-4e5d-befa-9c478dd6650f;22;F;5;5;0;5;Up-Sell;Taxa de Retenção;1215.6471;845.4021814825805;370.24491851741936
2024-02-06;Include;Cosméticos;Nordeste;Loja Física;10;486.73;0.07;dba45b5e-1498-465b-b9fe-0a1b7efbe877;55;F;3;2;0;0;Recuperação de Devolução;Taxa de Retenção;4526.589;2777.407670795999;1749.181329204001
2024-08-28;View;Brinquedos;Centro-Oeste;Loja Física;17;437.43;0.16;66e51767-dcb3-4e4a-891d-fa7b0d3dc6aa;25;F;8;1;0;6;Recuperação de Devolução;Receita por Cliente;6246.5004;4593.56119975343;1652.9392002465702
2024-04-07;Action;Eletrônicos;Sudeste;Loja Física;6;86.76;0.3;eceb9505-dbc3-4e56-88a1-7945ca6d3e06;43;F;4;3;1;7;Recuperação de Devolução;CAC;364.392;285.22419211885074;79.16780788114926
2024-07-25;Throughout;Livros;Nordeste;Loja Física;16;345.22;0.19;840fbb0b-a5e3-47af-871d-ade6432255ee;69;M;2;4;0;8;Up-Sell;Receita por Cliente;4474.051200000001;3233.34555959216;1240.7056404078407
2024-09-30;New;Eletrônicos;Sul;Online;16;26.69;0.03;1480f037-d39a-4bb0-962b-68d41880fa4b;60;F;1;3;0;2;Promoção;CAC;414.2288;300.4974194630106;113.73138053698943
2024-08-21;Audience;Eletrônicos;Norte;Loja Física;1;443.75;0.23;19365f61-f484-478d-9bc9-e8895567a84c;23;F;7;2;0;8;Recuperação de Devolução;CAC;341.6875;256.1564937942886;85.53100620571138
2024-02-27;Right;Alimentos;Sul;Loja Física;19;423.98;0.15;277e5c18-0877-4fe6-b7d8-70b678ac8704;55;M;2;5;0;6;Fidelidade;Taxa de Retenção;6847.277000000001;5390.273149738065;1457.0038502619363
2024-04-30;Trial;Moda;Centro-Oeste;Online;4;259.96;0.03;ce03a34d-a022-4fee-843f-b606e8b7e2da;22;F;6;3;0;4;Fidelidade;Taxa de Retenção;1008.6448;803.3809454486991;205.2638545513008
2024-02-08;Beat;Alimentos;Sudeste;Online;18;72.57;0.15;002f9cc4-096b-4aff-b5b7-751f497e28aa;60;F;5;2;0;8;Up-Sell;CAC;1110.3209999999997;775.6002726755895;334.7207273244102
2024-10-10;Rich;Brinquedos;Sudeste;Loja Física;15;314.52;0.23;f1c51dda-2828-4370-9672-ebc7606e8502;30;M;7;2;0;5;Promoção;CAC;3632.706;2866.2107257557323;766.4952742442674
2024-01-29;Site;Alimentos;Nordeste;Loja Física;8;127.28;0.04;291a58af-259a-4b28-b22b-89748c5c192f;34;M;4;3;0;9;Recuperação de Devolução;CAC;977.5104;656.7389234664192;320.7714765335808
2024-09-22;Window;Eletrônicos;Nordeste;Online;1;319.13;0.11;28b299bc-ebbe-4a41-8781-e11f2cb38568;23;F;2;1;0;4;Cross-Sell;CAC;284.0257;211.7493848395609;72.27631516043908
2024-05-08;Relationship;Brinquedos;Norte;Online;2;349.94;0.02;f172840f-3e19-40ba-ae09-ccfba3dee81f;31;F;8;4;0;7;Recuperação de Devolução;CAC;685.8824;540.0357745700288;145.84662542997114
2024-07-02;Indicate;Brinquedos;Sul;Online;10;62.06;0.05;540988e7-9fed-4060-af23-d4afe0ff58a5;29;M;8;4;0;0;Recuperação de Devolução;Receita por Cliente;589.57;355.656071712122;233.91392828787804
2024-08-05;According;Moda;Nordeste;Online;1;243.7;0.02;f5657d00-7ba0-4f58-861a-e8d1f212cc6f;40;M;9;2;1;4;Cross-Sell;Receita por Cliente;238.826;187.2655320733434;51.5604679266566
2024-02-09;Herself;Alimentos;Sul;Loja Física;11;296.94;0.07;65ea29d1-adae-4e45-a036-e74be34d7804;60;M;1;4;0;8;Up-Sell;Receita por Cliente;3037.6962;2360.3203928423954;677.3758071576044
2024-05-17;Analysis;Cosméticos;Sudeste;Loja Física;4;134.28;0.14;a2bb6283-3d83-4d7c-b9f7-06d40b4ea16d;57;F;1;2;0;1;Cross-Sell;CAC;461.9232;296.1376519003917;165.78554809960832
2024-06-17;Business;Livros;Centro-Oeste;Online;12;108.5;0.24;f75a7e6f-2b86-4694-941d-1a814815642c;18;M;3;1;0;1;Up-Sell;Receita por Cliente;989.52;674.7959602442647;314.72403975573525
2024-05-02;Pressure;Cosméticos;Norte;Loja Física;19;322.55;0.21;29e316ad-39dd-4477-9a22-0eb23cf9d1fe;42;F;7;5;1;7;Fidelidade;CAC;4841.4755000000005;3023.9077882874703;1817.56771171253
2024-08-25;About;Livros;Sul;Online;3;382.76;0.18;5d005716-7680-491b-abb6-204ee0db22d3;66;F;2;5;0;9;Fidelidade;Taxa de Retenção;941.5896;705.6624253507368;235.9271746492632
2024-09-05;Expect;Livros;Centro-Oeste;Online;1;185.96;0.3;62f25291-2353-4455-90bc-cb66e0631450;45;F;6;5;0;8;Promoção;CAC;130.172;98.342695591135;31.829304408864985
2024-03-20;Tv;Eletrônicos;Sul;Loja Física;1;357.36;0.14;2982100c-0372-4e33-8550-7d2b909e7f78;48;M;2;1;0;7;Promoção;Taxa de Retenção;307.3296;238.54566560585937;68.78393439414066
2024-08-02;Push;Cosméticos;Sudeste;Online;5;297.81;0.27;afdb4e0b-0171-4f1d-956a-2f20ee283bb7;42;M;8;5;0;5;Fidelidade;Taxa de Retenção;1087.0065;748.1761301375735;338.83036986242644
2024-07-04;Scene;Alimentos;Sudeste;Online;6;406.7;0.1;2c05b870-cd34-4cd7-b7ed-75b463d0fccd;46;F;4;5;0;5;Up-Sell;Taxa de Retenção;2196.18;1594.4536886960573;601.7263113039426
2024-06-20;Final;Livros;Sudeste;Loja Física;7;110.0;0.13;06714938-04fe-473d-a61c-ec19fff83cec;42;M;4;3;0;9;Recuperação de Devolução;Receita por Cliente;669.9;514.971894764381;154.928105235619
2024-07-21;Short;Brinquedos;Sudeste;Online;9;400.23;0.12;00f24603-8295-4fe0-92c5-53b5d2f74429;48;M;3;1;0;4;Recuperação de Devolução;CAC;3169.8216;1961.0914813969728;1208.7301186030274
2024-04-11;Wear;Moda;Norte;Loja Física;18;140.54;0.18;ecf150e6-c6f1-49c7-8c15-a57509c64c1d;64;M;5;5;0;8;Up-Sell;CAC;2074.3704;1294.0578751524606;780.3125248475392
2024-01-25;Dream;Livros;Sul;Loja Física;16;156.15;0.28;25cf51c4-9c89-4296-92b0-35e01ca5a2f5;50;F;6;3;0;1;Recuperação de Devolução;Receita por Cliente;1798.848;1373.5228576325487;425.3251423674512
2024-08-01;Chance;Livros;Nordeste;Loja Física;5;489.3;0.23;c96ef1a5-ac70-4464-a734-f9bbc7405255;64;F;5;5;0;7;Recuperação de Devolução;CAC;1883.805;1296.7998608857667;587.0051391142333
2024-01-06;Society;Cosméticos;Norte;Loja Física;10;32.55;0.25;6b325d48-06c4-4109-89a6-e611613f718d;53;M;7;2;0;1;Promoção;Taxa de Retenção;244.125;185.6750978606649;58.44990213933514
2024-02-06;Page;Moda;Nordeste;Online;11;102.98;0.24;afb9f3a8-e9e7-41ba-916b-51ee6faefeda;40;F;9;5;0;9;Fidelidade;CAC;860.9128;516.5735729994773;344.33922700052267
2024-10-06;Field;Cosméticos;Norte;Online;2;265.23;0.29;ec2b5e21-3f7a-48e0-b611-8bd6553a773a;65;M;1;3;0;5;Fidelidade;Receita por Cliente;376.6266;234.640486905438;141.986113094562
2024-06-03;Cut;Eletrônicos;Centro-Oeste;Loja Física;2;194.24;0.03;37773772-829f-47ba-9d30-db822348e1b7;26;F;7;2;0;1;Promoção;Receita por Cliente;376.8256;253.85559432027208;122.97000567972792
2024-10-02;Book;Alimentos;Norte;Loja Física;8;128.63;0.24;213a6ad8-12b3-4a24-a67f-ceeb8889832c;21;M;8;1;0;3;Recuperação de Devolução;CAC;782.0704;531.4414251865478;250.62897481345212
2024-10-31;Leader;Moda;Sudeste;Loja Física;10;345.43;0.2;59c07423-a89f-4916-90ec-83746862dc24;54;F;7;1;0;0;Up-Sell;CAC;2763.4400000000005;2118.871975571639;644.5680244283617
2024-09-16;Magazine;Eletrônicos;Sul;Online;4;337.93;0.01;e54ce0de-6e79-4a92-98b7-f1a2f74f1905;32;M;6;1;0;2;Cross-Sell;Receita por Cliente;1338.2028;939.3601533309802;398.8426466690198
2024-08-30;Sense;Brinquedos;Centro-Oeste;Online;7;482.23;0.12;61bafa39-789c-4c72-bee2-9e686fa00319;54;F;5;5;0;7;Cross-Sell;Receita por Cliente;2970.5368000000003;2327.6915658994867;642.8452341005136
2024-01-01;Give;Cosméticos;Centro-Oeste;Loja Física;12;440.51;0.1;3d7439ee-6514-4471-aa95-1570399bcb79;35;M;8;3;0;9;Fidelidade;Taxa de Retenção;4757.508;3258.6053464822303;1498.9026535177695
2024-08-25;If;Livros;Centro-Oeste;Online;15;498.74;0.03;eba08424-65a5-4c1f-bb2e-cfc5a53011a2;37;F;4;1;0;4;Promoção;Receita por Cliente;7256.667;4451.187075894719;2805.479924105281
2024-07-10;Concern;Livros;Centro-Oeste;Online;19;187.82;0.09;409b3c5b-d5e8-489c-91ab-249d94d50a99;42;F;7;3;0;9;Cross-Sell;Taxa de Retenção;3247.4078;2245.8825832258376;1001.5252167741623
2024-05-09;Give;Livros;Nordeste;Online;1;32.16;0.03;86ce563d-e291-45e1-869f-c269ff7acd86;42;F;4;1;0;1;Up-Sell;CAC;31.1952;21.281420241948386;9.913779758051614
2024-04-04;Know;Moda;Sul;Online;15;169.4;0.0;9aa1ecd6-058f-48d5-8ad6-cc515f2e1048;53;F;8;4;0;2;Up-Sell;CAC;2541.0;1803.8341754244211;737.1658245755787
2024-10-10;Raise;Alimentos;Centro-Oeste;Online;4;253.49;0.27;e072caae-797c-47bf-8793-85209c921e7f;68;F;9;2;0;3;Promoção;CAC;740.1908;538.8336106659917;201.35718933400824
2024-05-06;Watch;Cosméticos;Nordeste;Online;13;94.38;0.05;9c684df1-0a51-4e87-86ba-68553cad275a;19;M;5;5;0;6;Recuperação de Devolução;Receita por Cliente;1165.593;713.0875276832427;452.5054723167574
2024-09-30;Right;Brinquedos;Norte;Loja Física;11;51.69;0.15;6409df32-cc4e-46da-9e09-89b952526d45;30;F;9;2;0;8;Up-Sell;Taxa de Retenção;483.3014999999999;349.67148021959576;133.63001978040415
2024-01-25;Learn;Alimentos;Nordeste;Loja Física;12;231.84;0.02;88d3281a-1b4e-4428-a048-3bb2f6d080c4;38;M;3;2;0;5;Up-Sell;CAC;2726.4384;1707.9902428062107;1018.4481571937893
2024-03-15;Choose;Livros;Sul;Loja Física;5;467.01;0.24;24eac3f4-0c78-42f9-9a41-8b24e0acf9ff;25;F;7;4;0;6;Recuperação de Devolução;CAC;1774.638;1218.045217002353;556.5927829976472
2024-08-08;Line;Cosméticos;Sul;Loja Física;7;383.95;0.23;c48ae374-06dc-4579-a476-40a1b6a659ef;40;M;7;3;0;1;Cross-Sell;Receita por Cliente;2069.4905000000003;1611.0280632090492;458.4624367909512
2024-03-27;Worker;Cosméticos;Sul;Loja Física;5;162.63;0.25;f9fb4010-dec7-42b7-bb22-fa316bc9e970;62;M;6;2;1;0;Up-Sell;Taxa de Retenção;609.8625;382.24187592007854;227.6206240799214
2024-04-02;Section;Livros;Norte;Loja Física;16;445.42;0.21;1ad566c3-ecb0-4f48-aed6-3ea464a2bc48;33;M;8;4;0;0;Recuperação de Devolução;Taxa de Retenção;5630.108800000001;3613.1330270485214;2016.9757729514783
2024-02-25;Choose;Livros;Sudeste;Loja Física;4;351.66;0.26;7644d183-9aab-422d-b5ef-8aabb693f4ef;50;M;9;3;0;1;Up-Sell;Taxa de Retenção;1040.9136;712.6133567794568;328.3002432205433
2024-07-29;Need;Alimentos;Norte;Loja Física;13;237.04;0.09;796f9881-572a-4b53-ab6b-7b4229502326;51;M;3;4;0;5;Up-Sell;Taxa de Retenção;2804.1832;1716.381015828072;1087.8021841719278
2024-06-22;Four;Moda;Norte;Loja Física;5;139.66;0.08;eb1d1061-9717-4a6e-a8b4-d5b9693d993c;31;F;3;3;1;7;Cross-Sell;Receita por Cliente;642.436;422.2444805475986;220.19151945240145
2024-02-05;Carry;Cosméticos;Sudeste;Online;9;292.01;0.01;c30759a4-48a1-43ab-9d55-daaffefc5b4a;19;F;1;4;0;7;Up-Sell;CAC;2601.8091;1601.3974363492782;1000.4116636507216
2024-02-01;Detail;Brinquedos;Centro-Oeste;Loja Física;15;105.5;0.29;5e47c2a0-eef6-4139-9ccd-d34080e97f74;21;M;9;2;0;0;Promoção;Receita por Cliente;1123.575;781.3438573095938;342.2311426904063
2024-05-04;Whether;Alimentos;Centro-Oeste;Online;16;373.2;0.09;5b8d11ba-a0ec-4e5a-a487-8d19586d7f41;57;M;2;2;0;4;Recuperação de Devolução;Taxa de Retenção;5433.792;3883.3993455879154;1550.392654412085
2024-07-16;Culture;Brinquedos;Norte;Loja Física;4;469.09;0.07;84caa7c8-a159-4b4f-b901-726fc421325a;54;M;8;4;0;4;Cross-Sell;CAC;1745.0147999999997;1308.510639946038;436.5041600539616
2024-07-09;Life;Livros;Sudeste;Online;16;333.04;0.02;e08c28eb-3218-4fbf-8dcc-bbedc0e0d55b;56;M;6;2;0;3;Up-Sell;CAC;5222.0672;4097.483936934626;1124.583263065374
2024-02-12;Happy;Eletrônicos;Nordeste;Online;14;365.25;0.13;b934718f-2d49-4ca2-81f4-317df5141524;45;F;8;4;0;8;Recuperação de Devolução;Taxa de Retenção;4448.745;3058.61975292237;1390.12524707763
2024-04-27;Strategy;Eletrônicos;Norte;Online;17;90.6;0.24;614f1ddc-4bc9-42ce-931d-a6ac956c2129;52;F;6;4;0;7;Up-Sell;Receita por Cliente;1170.552;849.308038899355;321.2439611006449
2024-08-02;Improve;Moda;Nordeste;Online;18;376.63;0.1;8d2ad974-4a86-4655-8a9d-499ca2698c2d;63;F;7;5;0;7;Up-Sell;CAC;6101.406;3734.143806091204;2367.262193908796
2024-04-23;Late;Moda;Norte;Online;6;253.7;0.23;69199a8a-aea6-4315-88ef-444a6e63ffa4;56;F;3;1;0;4;Fidelidade;CAC;1172.0939999999998;814.6788972581821;357.4151027418177
2024-10-01;Surface;Moda;Norte;Loja Física;10;52.82;0.23;354af1bd-ba56-42f7-a00a-a45e44e1b08c;65;M;8;2;0;2;Fidelidade;Taxa de Retenção;406.71400000000006;314.7972349237582;91.91676507624186
2024-02-18;Million;Moda;Sul;Online;4;199.36;0.28;1c3c8d35-21d4-4b7e-a258-7c8958ccf9b4;43;F;8;4;0;2;Cross-Sell;Receita por Cliente;574.1568;412.50624713670544;161.65055286329454
2024-07-31;Improve;Eletrônicos;Norte;Loja Física;1;367.43;0.08;07fe6a4e-2a6f-4e47-9b61-f92b9cf600ec;34;F;5;1;0;2;Recuperação de Devolução;Taxa de Retenção;338.03560000000004;228.18088624074116;109.85471375925891
2024-05-09;Show;Moda;Nordeste;Loja Física;6;293.32;0.18;76a933cf-65fd-4f69-93a2-5c9b6e3a52d7;66;F;4;4;0;4;Promoção;Taxa de Retenção;1443.1344;891.6395125618399;551.4948874381603
2024-07-28;Discussion;Alimentos;Centro-Oeste;Loja Física;1;160.13;0.28;b5004950-b5f5-4316-a453-35cc137fcd2b;68;F;4;2;0;1;Fidelidade;Taxa de Retenção;115.2936;80.67291217670072;34.62068782329928
2024-03-19;Stuff;Brinquedos;Sudeste;Loja Física;18;494.49;0.07;6ce8d7dc-c71d-42d6-93ec-5718ae4a741a;27;M;6;4;0;2;Fidelidade;Taxa de Retenção;8277.7626;6487.619152150203;1790.1434478497968
2024-08-22;Deal;Eletrônicos;Sul;Loja Física;19;291.28;0.04;2367ad9e-8dcd-4d64-b9e8-e4ee8b7f6d7a;43;F;6;3;0;4;Fidelidade;CAC;5312.9472;3266.287546526068;2046.6596534739317
2024-07-31;Leg;Moda;Sul;Online;5;473.03;0.11;2a1ace85-351c-4aac-a728-ec952b52dab1;18;M;7;3;0;4;Recuperação de Devolução;Taxa de Retenção;2104.9835;1486.485215533709;618.4982844662909
2024-08-16;Yard;Alimentos;Nordeste;Loja Física;3;284.29;0.27;22b3ce34-867a-4ac9-879b-e4e53a6e8f12;33;M;2;5;1;2;Recuperação de Devolução;Taxa de Retenção;622.5951000000001;426.6424177103773;195.95268228962283
2024-04-21;Democratic;Moda;Nordeste;Online;17;286.69;0.22;e65d1c73-5b62-47c9-be38-01afd1a8d7b0;34;M;3;2;0;7;Cross-Sell;Receita por Cliente;3801.5094;2858.3274400971595;943.1819599028404
2024-06-21;Peace;Eletrônicos;Sul;Loja Física;4;35.07;0.01;49bcf4a8-bc62-44a8-9f93-e802e1c25cd1;60;M;1;2;0;3;Up-Sell;Receita por Cliente;138.8772;87.52459098947867;51.35260901052132
2024-02-05;See;Eletrônicos;Sudeste;Loja Física;3;61.0;0.23;af273f40-55cd-472e-8b10-cf68b7691470;54;M;3;1;0;2;Up-Sell;CAC;140.91;89.37062530660408;51.53937469339592
2024-08-19;Appear;Moda;Sudeste;Loja Física;11;311.07;0.14;ea045534-f679-4fd3-8d74-afec1e548a7c;25;M;6;4;0;1;Up-Sell;CAC;2942.7222;2187.033699971237;755.688500028763
2024-05-29;Western;Brinquedos;Nordeste;Online;14;368.5;0.2;c5fee487-68ab-4281-968d-2bc2dac7c336;41;M;3;2;0;7;Fidelidade;Taxa de Retenção;4127.2;3037.584129920697;1089.615870079303
2024-05-03;Important;Moda;Norte;Online;17;129.58;0.21;2887a3a9-e633-47c3-8303-42c7dcfbde0a;67;F;1;2;0;0;Up-Sell;Receita por Cliente;1740.2594;1224.336109526989;515.9232904730111
2024-08-11;Along;Cosméticos;Sul;Loja Física;8;482.35;0.17;f7f1bb27-8066-4563-a0c3-0ce957ac59f2;58;F;4;1;0;4;Up-Sell;Receita por Cliente;3202.804;1924.6021215503451;1278.2018784496547
2024-04-04;East;Brinquedos;Sul;Loja Física;10;373.21;0.21;25033a3e-b1f5-47d0-887b-4cca54f02dc4;56;M;9;3;0;4;Fidelidade;Receita por Cliente;2948.359;2273.576788669509;674.782211330491
2024-04-22;Property;Brinquedos;Sudeste;Online;1;126.63;0.19;bd637b3a-fc0b-4519-a04a-a4a2e983cc1d;63;F;4;2;1;9;Up-Sell;Taxa de Retenção;102.5703;81.79771510629296;20.772584893707048
2024-03-12;Become;Moda;Centro-Oeste;Online;11;325.77;0.2;3c0a94de-4e24-4cf7-8e33-dcabbe684e2b;55;F;2;1;0;5;Recuperação de Devolução;Receita por Cliente;2866.776;2102.7482070307824;764.0277929692174
2024-03-14;Truth;Eletrônicos;Norte;Online;19;176.48;0.03;60e9bd79-fe1c-41e5-aa31-e67ae1680205;67;F;1;3;0;4;Up-Sell;CAC;3252.5264;2558.585546065828;693.9408539341716
2024-03-13;Culture;Livros;Norte;Online;12;366.47;0.23;78a55d6b-f2de-400f-a3e8-695158b5f052;55;M;7;2;0;9;Recuperação de Devolução;CAC;3386.1828000000005;2544.929434835686;841.2533651643143
2024-01-13;Himself;Brinquedos;Nordeste;Online;3;296.45;0.15;68fc642a-f6f2-4926-8e60-678b82f4b48a;22;F;5;3;1;3;Up-Sell;Taxa de Retenção;755.9474999999999;557.006599088265;198.94090091173484
2024-08-25;Art;Moda;Sul;Loja Física;3;380.76;0.06;1903b45f-d01c-4935-a803-2f7efef06b04;52;M;7;2;0;2;Fidelidade;Taxa de Retenção;1073.7432;719.6792780338377;354.0639219661622
2024-09-12;Situation;Livros;Nordeste;Online;4;133.22;0.09;25cc2478-276d-4e19-b924-e06aaef5baef;40;F;5;5;0;1;Up-Sell;Taxa de Retenção;484.9208;298.6782057055927;186.2425942944073
2024-04-10;Pull;Alimentos;Sul;Online;4;466.82;0.19;a25130a8-9870-4707-955f-bc3301424249;67;M;2;4;0;5;Recuperação de Devolução;Taxa de Retenção;1512.4968;917.2297539035984;595.2670460964017
2024-07-04;Research;Brinquedos;Centro-Oeste;Loja Física;19;496.57;0.29;e1a9344e-ef7f-4bc8-bb24-cba4b4577bf7;48;F;4;1;0;3;Recuperação de Devolução;Receita por Cliente;6698.7293;4622.875529265568;2075.853770734432
2024-01-27;Consumer;Moda;Nordeste;Loja Física;15;90.62;0.06;c77f0b62-b264-49f7-9b58-286c8461f840;51;F;7;2;0;5;Cross-Sell;CAC;1277.7420000000002;884.078823511412;393.6631764885882
2024-02-04;Early;Alimentos;Centro-Oeste;Online;4;261.32;0.27;98856c7f-3475-4526-b2b4-c281a5b91ee8;45;F;3;4;1;7;Promoção;Receita por Cliente;763.0544;516.7687098141215;246.28569018587848
2024-09-20;Popular;Cosméticos;Sudeste;Loja Física;18;433.1;0.19;83719849-fb52-44d9-9a66-d48da4f0d9c2;25;M;9;5;0;3;Up-Sell;Receita por Cliente;6314.598000000001;3826.549161363367;2488.0488386366337
2024-10-21;Finish;Alimentos;Sul;Loja Física;19;180.37;0.15;bb5f15c1-b044-4ebb-8445-17ef1c769e1f;31;F;9;3;0;8;Fidelidade;CAC;2912.9755;1863.9228582157657;1049.0526417842343
2024-02-20;Position;Cosméticos;Sudeste;Online;15;128.89;0.11;15db4487-6038-43f3-ab2b-cfda9d4319b5;43;F;3;5;1;5;Cross-Sell;Receita por Cliente;1720.6815;1079.3884948262437;641.2930051737562
2024-02-28;Before;Brinquedos;Sul;Loja Física;10;368.22;0.05;1d8ac1a9-02af-4382-8938-ad77cb18d6a4;55;M;4;4;0;7;Fidelidade;Taxa de Retenção;3498.09;2107.766154973898;1390.323845026102
2024-01-16;Sea;Alimentos;Sul;Loja Física;2;488.98;0.04;b8f35c26-d13e-439c-9cb6-f1f0e4751694;49;M;3;1;0;8;Recuperação de Devolução;Receita por Cliente;938.8416;679.5586291910312;259.2829708089688
2024-02-01;Trouble;Brinquedos;Nordeste;Online;5;256.84;0.04;ad0cabfc-1baf-41f1-917f-a07e7b0f78c1;54;M;2;4;0;3;Fidelidade;Taxa de Retenção;1232.832;764.0959502978193;468.7360497021806
2024-09-28;Music;Eletrônicos;Nordeste;Online;11;202.29;0.07;b259a6a0-9591-4900-9e7c-faad73df770a;67;M;2;3;0;9;Fidelidade;Receita por Cliente;2069.4267;1303.0722733598786;766.3544266401213
2024-07-28;Society;Livros;Nordeste;Online;12;202.05;0.26;cfe4fb66-7c8d-4368-aaa2-843940fe81ec;65;F;6;4;0;5;Recuperação de Devolução;Taxa de Retenção;1794.2040000000002;1112.0882466758476;682.1157533241526
2024-09-22;Feel;Eletrônicos;Norte;Online;9;399.31;0.07;28b74f3d-ec38-46bc-ba8d-1c00c6962905;57;M;7;5;0;5;Up-Sell;Taxa de Retenção;3342.2247;2516.471543576191;825.7531564238088
2024-05-31;Spend;Cosméticos;Sudeste;Loja Física;12;355.97;0.11;e5098f9a-d3c6-4e05-8d37-aebb8fc7f7e3;26;F;2;4;0;4;Fidelidade;Receita por Cliente;3801.7596;2952.734225174994;849.0253748250061
2024-09-30;Understand;Livros;Sul;Loja Física;3;166.27;0.28;820bc51d-db3a-4fa6-87d0-286213f36e53;36;F;8;4;0;3;Cross-Sell;CAC;359.14320000000004;224.0187335993156;135.1244664006844
